Wetland,Season,pH_probe,Biomass,NearestCropDistance_m,Julian,PercentAg,Buffered,WaterQuality,Diversity,InvertPesticideDetection,Permanence,PrecipitationAmount_7days,DaysSinceLastPrecipitation_5mm,AnnualSnowfall_in,EnvDetection,TDS_mg.L,Salinity_ppt,Conductivity_uS.cm
Howe,Spring,7.54,0,0,121,0.706612,N,-1.18935111,0,NA,Temporary,0.42,3,57,N,72.9,0.09,178.5
Huesers.S,Spring,8.66,0.1084,40,130,0.751007,N,-0.449379485,5,Y,Permanent,0.43,6,76.8,Y,1570,1.09,2200
Jacobson,Spring,7.75,0.0051,130,126,0.539225,Y,-1.047588126,1,NA,Temporary,0,15,72,N,384,0.27,548
Kleppe,Spring,8.25,0,0,121,0.829767,N,-1.164529383,0,NA,Temporary,0.42,3,57,N,156,0.11,218
Lindbo,Spring,8.19,0.0079,470,118,0.116932,Y,-1.160196852,5,NA,Seasonal,0.47,4,42.1,N,155,0.12,238
Naaden,Spring,7.58,0.1228,35,128,0.732653,N,-1.127135395,3,Y,Temporary,1.05,1,83,Y,230,0.16,324
NDSLT2,Spring,7.92,0.3411,30,123,0.331237,N,-1.118675299,6,NA,Temporary,0.18,13,83,N,244,0.15,395
NDSLT3,Spring,9.25,0,35,124,0.714742,N,3.30921073,0,NA,Semipermanent,0,54,63,N,8680,6.42,12800
NDSLT4,Spring,7.93,0.0251,30,125,0.280899,N,-1.140872125,3,NA,Temporary,0,15,83,Y,203,0.14,288
NDSLT5,Spring,9.45,0.0047,310,126,0.024742,Y,-1.050354508,1,NA,Temporary,0,56,63,N,379,0.27,532
Novadorsky,Spring,8.5,0.0671,0,124,0.76078,N,-0.908094665,2,NA,Temporary,0.07,15,72,Y,646,0.45,980
Peterson,Spring,8.5,0,0,112,0.53271,N,-1.222445019,0,NA,Temporary,0.42,1,72,Y,41.7,0.03,58.4
Road-WPA,Spring,8.84,0.2456,10,115,0.360244,N,-0.706099046,4,Y,Permanent,0.47,4,72,Y,1060,0.74,1489
S.Opland,Spring,9.02,0.0048,35,129,0.738858,N,0.352146034,1,NA,Semipermanent,0.45,1,42.1,N,3100,2.17,4550
Scheresky,Spring,10.08,0,0,123,0.592731,N,-0.998198782,0,NA,Temporary,0.07,12,72,Y,483,0.34,678
Schoenberg,Spring,8.35,0,536,125,0.205315,Y,-0.868885885,0,NA,Permanent,0.5,7,55.1,N,735,0.52,1037
SLT5,Spring,7.95,0.3378,700,115,0.011677,Y,-1.179662222,3,N,Temporary,0.73,5,52.3,Y,135,0.08,179.5
Steinberger,Spring,7.9,0.0378,0,108,0.902923,N,-1.159951097,1,N,Temporary,0.05,17,52.3,Y,167,0.12,220
Unlind-Canola,Spring,8.15,0,0,113,0.804243,N,-1.152312064,0,NA,Temporary,0.63,2,53,Y,178,0.13,249
Unlind-Wheat,Spring,7.9,0.0039,0,118,0.848269,N,-1.206506995,1,N,Temporary,0.67,0,53,Y,72.4,0.05,107.6
USA81,Spring,8.83,0.0095,30,131,0.388323,N,0.244292848,2,Y,Permanent,0.71,3,72,Y,2920,2.06,4120
Virgil,Spring,9.31,1e-04,0,138,0.848765,N,-0.325604117,1,N,Semipermanent,1.43,5,83,N,1840,1.28,2460
Zablotney,Spring,8.61,0.153,0,122,0.683696,N,-1.177745026,5,NA,Temporary,0.33,4,42.1,N,124,0.09,195
